time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-23 00:00:00,21.3,100,0.0,1.2
2026-08-23 01:00:00,20.8,100,0.8,4.2
2026-08-23 02:00:00,20.8,99,0.1,3.7
2026-08-23 03:00:00,20.7,99,0.0,4.3
2026-08-23 04:00:00,20.5,99,0.0,3.8
2026-08-23 05:00:00,20.4,100,0.0,4.3
2026-08-23 06:00:00,21.0,99,0.0,3.5
2026-08-23 07:00:00,22.6,94,0.0,2.5
2026-08-23 08:00:00,24.6,83,0.0,1.4
2026-08-23 09:00:00,26.4,72,0.0,0.7
2026-08-23 10:00:00,27.7,66,0.2,0.0
2026-08-23 11:00:00,28.4,66,0.1,4.2
2026-08-23 12:00:00,23.6,88,7.2,7.8
2026-08-23 13:00:00,24.0,89,1.9,0.9
2026-08-23 14:00:00,25.9,81,0.5,1.9
2026-08-23 15:00:00,23.6,86,0.5,3.2
2026-08-23 16:00:00,24.2,83,1.8,3.9
2026-08-23 17:00:00,22.9,92,2.9,3.5
2026-08-23 18:00:00,22.3,96,0.3,0.2
2026-08-23 19:00:00,22.1,100,0.0,1.3
2026-08-23 20:00:00,22.0,99,0.0,2.4
2026-08-23 21:00:00,21.7,100,0.0,1.8
2026-08-23 22:00:00,21.4,100,0.1,4.2
2026-08-23 23:00:00,22.2,100,0.0,4.0
2026-08-24 00:00:00,21.7,100,0.0,2.5
2026-08-24 01:00:00,21.2,100,0.0,1.3
2026-08-24 02:00:00,20.8,99,0.0,1.3
2026-08-24 03:00:00,20.4,100,0.0,0.6
2026-08-24 04:00:00,20.1,100,0.0,0.4
2026-08-24 05:00:00,21.1,99,0.0,1.9
2026-08-24 06:00:00,21.6,99,0.0,1.1
2026-08-24 07:00:00,22.9,92,0.0,2.0
2026-08-24 08:00:00,24.4,83,0.0,2.3
2026-08-24 09:00:00,25.8,76,0.1,2.2
2026-08-24 10:00:00,27.0,71,0.3,1.3
2026-08-24 11:00:00,27.0,71,0.1,5.9
2026-08-24 12:00:00,25.2,76,1.9,3.6
2026-08-24 13:00:00,25.5,76,1.6,5.7
2026-08-24 14:00:00,26.2,73,0.1,3.5
2026-08-24 15:00:00,26.3,70,0.4,5.8
